r1,r2,rl
0.30667,0.10811,0.28
0.29412,0.09524,0.27059
0.42254,0.21801,0.3568
0.27211,0.13013,0.22449
0.46465,0.2551,0.42424
0.40994,0.20126,0.37267
0.4186,0.25197,0.4186
0.40984,0.21666,0.37705
0.54815,0.31579,0.48889
0.3102,0.06584,0.25306
0.4,0.21505,0.3579
0.62774,0.44444,0.58394
0.25455,0.03681,0.20606
0.5314,0.3122,0.51208
0.3608,0.20582,0.31626
0.45455,0.30263,0.36363
0.48855,0.24806,0.42748
0.47737,0.34025,0.39506
0.96454,0.93525,0.96454
0.34482,0.16783,0.33104
0.225,0.10126,0.225
0.2659,0.10526,0.25433
0.16279,0.02353,0.12791
0.46667,0.33708,0.44445
0.52543,0.31035,0.50847
0.336,0.0813,0.272
0.47887,0.32857,0.47887
0.37384,0.11429,0.29906
0.38775,0.12371,0.33674
0.82432,0.71232,0.82432
0.43854,0.20067,0.39202
0.42667,0.27027,0.38667
0.33784,0.16439,0.2973
0.36572,0.16092,0.31428
0.45933,0.23189,0.43063
0.38961,0.14474,0.32468
0.24138,0.05263,0.2069
0.25883,0.05952,0.23529
0.39846,0.22394,0.36781
0.31868,0.12222,0.2967
0.48045,0.25988,0.4581
0.39456,0.2069,0.38095
0.18604,0.04706,0.17442
0.58763,0.4375,0.57732
0.4138,0.2085,0.3908
0.29767,0.0845,0.26977
0.28571,0.06666,0.25275
0.25731,0.05917,0.22222
0.50887,0.2515,0.42604
0.3949,0.20645,0.33121
0.25731,0.05917,0.23392
0.36641,0.20155,0.32061
0.39024,0.1358,0.37805
0.3815,0.18714,0.34682
0.36363,0.21277,0.30769
0.35088,0.08928,0.26316
0.51304,0.29824,0.51304
0.44444,0.2625,0.37037
0.41666,0.25301,0.41666
0.5931,0.41958,0.56552
0.38848,0.14599,0.33094
0.53202,0.31841,0.50246
0.37607,0.22609,0.34188
0.74612,0.65969,0.74612
0.336,0.17886,0.32
0.30864,0.1125,0.24691
0.35669,0.16774,0.33121
0.44324,0.16393,0.4
0.5,0.26415,0.5
0.42752,0.21235,0.3882
0.4,0.17391,0.32857
0.49231,0.2798,0.42051
0.22966,0.11594,0.22966
0.37241,0.16783,0.33104
0.89075,0.75213,0.89075
0.54088,0.31848,0.47798
0.28235,0.05953,0.24706
0.24615,0.09375,0.18461
0.33802,0.15714,0.32394
0.38667,0.24324,0.37333
0.53893,0.37576,0.53893
0.35227,0.17242,0.34091
0.41711,0.18378,0.36363
0.35714,0.15464,0.29592
0.40936,0.22485,0.38597
0.50746,0.34586,0.49254
0.36986,0.18056,0.36986
0.21622,0.0274,0.2027
0.31414,0.15873,0.31414
0.34418,0.14084,0.32558
0.32624,0.12949,0.29787
0.35088,0.125,0.33333
0.40437,0.14365,0.3388
0.42202,0.21296,0.37615
0.36559,0.15385,0.25806
0.55513,0.3295,0.52471
0.42857,0.21687,0.38095
0.18182,0.05406,0.14973
0.69091,0.57669,0.66667
0.68532,0.52482,0.65734
0.41892,0.21918,0.41892
0.11679,0.02963,0.11679
0.24753,0.05,0.21782
0.2919,0.14207,0.2919
0.32353,0.22388,0.32353
0.5348,0.30996,0.50549
0.33334,0.15,0.2963
0.37333,0.16216,0.37333
0.41935,0.19672,0.33871
0.15873,0.04839,0.14286
0.22389,0.04546,0.22389
0.58706,0.43216,0.57711
0.52239,0.30303,0.47761
0.46452,0.28758,0.4129
0.30116,0.0856,0.23938
0.49717,0.30857,0.45198
0.21583,0.10219,0.18705
0.46923,0.22481,0.42308
0.57377,0.41667,0.52459
0.43698,0.20513,0.42017
0.14865,0.0137,0.13514
0.5,0.23287,0.4054
0.48101,0.29487,0.45569
0.27451,0.09901,0.21569
0.22857,0.07247,0.2
0.30345,0.04196,0.26207
0.30097,0.10784,0.28155
0.52713,0.40945,0.51163
0.54717,0.20952,0.45283
0.66666,0.52071,0.65497
0.38541,0.13684,0.33333
0.40994,0.25157,0.39752
0.29788,0.07194,0.2695
0.37715,0.23122,0.36572
0.38037,0.27329,0.38037
0.40236,0.22755,0.36686
0.54651,0.32748,0.49419
0.25757,0.03077,0.25757
0.38994,0.19109,0.37736
0.29108,0.12322,0.22535
0.44,0.28378,0.41333
0.53386,0.28916,0.44622
0.51208,0.31219,0.41546
0.64336,0.46809,0.61539
0.28571,0.17073,0.2619
0.36363,0.21276,0.30769
0.24638,0.14706,0.23188
0.40426,0.1828,0.3617
0.4321,0.2375,0.40741
0.31081,0.13699,0.2973
0.1745,0.02721,0.13423
0.40437,0.1768,0.39345
0.43284,0.22728,0.38806
0.53968,0.27807,0.45503
0.42667,0.14865,0.4
0.56034,0.28696,0.52586
0.47059,0.32,0.43137
0.5579,0.38298,0.52632
0.33721,0.14117,0.27907
0.23423,0.11009,0.21622
0.46903,0.23214,0.37168
0.45283,0.22857,0.35849
0.54815,0.39098,0.53333
0.45455,0.21839,0.40909
0.51852,0.25234,0.44444
0.14765,0.0,0.13423
0.28572,0.1323,0.27799
0.43871,0.30065,0.4129
0.49143,0.27745,0.44571
0.4,0.14724,0.35152
0.2987,0.1579,0.2987
0.38095,0.22892,0.35714
0.34014,0.17931,0.34014
0.38033,0.16502,0.34754
0.47659,0.18884,0.3234
0.48175,0.22222,0.43795
0.97959,0.95833,0.97959
0.50495,0.27,0.42574
0.39791,0.25397,0.38744
0.60109,0.53039,0.60109
0.43972,0.21583,0.34042
0.30357,0.09091,0.26786
0.34615,0.20779,0.26923
0.41379,0.16783,0.4
0.50921,0.26543,0.45399
0.28409,0.08046,0.25
0.56,0.5,0.56
0.31111,0.13636,0.26667
0.35715,0.17391,0.32857
0.39024,0.26447,0.34146
0.56983,0.32768,0.50279
0.4467,0.21539,0.36548
0.45588,0.16418,0.33824
0.20408,0.10417,0.20408
0.24719,0.07954,0.22472
0.28572,0.10405,0.24
0.23301,0.19802,0.21359
0.38974,0.20726,0.36923
0.44068,0.23932,0.38135
0.28378,0.10959,0.24324
0.3741,0.21898,0.3741
0.4,0.13954,0.34615
0.40278,0.14685,0.34028
0.17284,0.025,0.11111
0.29508,0.1768,0.28415
0.40579,0.23529,0.33333
0.52688,0.41304,0.51613
0.44805,0.23529,0.41558
0.4375,0.16456,0.375
0.43421,0.21855,0.38816
0.46809,0.26882,0.39362
0.53266,0.30457,0.48242
0.40741,0.2375,0.40741
0.32323,0.14433,0.30303
0.50273,0.3094,0.45902
0.33577,0.07353,0.25548
0.38356,0.18056,0.32877
0.4386,0.29203,0.40351
0.38938,0.23423,0.30089
0.30769,0.1913,0.30769
0.33962,0.15238,0.33962
0.36641,0.18604,0.35115
0.36129,0.2353,0.34838
0.34286,0.16185,0.30857
0.33548,0.14379,0.32258
0.29825,0.125,0.26316
0.45614,0.26786,0.43859
0.256,0.04878,0.176
0.41176,0.27966,0.39496
0.33149,0.15643,0.28729
0.22973,0.08219,0.22973
0.33784,0.12328,0.28378
0.43443,0.22314,0.37705
0.38461,0.21935,0.33974
0.49123,0.25,0.4035
0.41143,0.23121,0.38857
0.25,0.10666,0.23684
0.36585,0.17213,0.28455
0.51649,0.28889,0.47252
0.51686,0.375,0.51686
0.45752,0.21192,0.35294
0.45455,0.21052,0.42857
0.2963,0.0625,0.24692
0.34615,0.15686,0.28846
0.38095,0.20482,0.36905
0.48544,0.35644,0.48544
0.42953,0.27211,0.37584
0.352,0.17886,0.32
0.40462,0.18714,0.34682
0.5974,0.46052,0.58441
0.46154,0.19689,0.38975
0.30121,0.12195,0.25301
0.30435,0.07692,0.27173
0.51282,0.22078,0.43589
1.0,1.0,1.0
0.31933,0.08547,0.2689
0.21538,0.0625,0.18462
0.38597,0.26786,0.36842
0.46269,0.25758,0.44776
0.36842,0.13334,0.31579
0.48,0.28378,0.45333
0.34395,0.19355,0.29299
0.53247,0.32895,0.51948
0.45518,0.20979,0.37241
0.39216,0.16832,0.36275
0.46896,0.23776,0.41379
0.36487,0.13699,0.33784
0.31579,0.08,0.25
0.45454,0.27587,0.42045
0.37879,0.24615,0.36363
0.52209,0.34818,0.43374
0.37209,0.15294,0.32558
0.63704,0.57143,0.62222
0.59184,0.41237,0.52041
0.43479,0.23899,0.32298
0.36548,0.14359,0.33503
0.41333,0.24324,0.37333
0.51748,0.35461,0.47552
0.20968,0.09836,0.20968
0.5125,0.3038,0.5
0.4,0.26589,0.38857
0.472,0.23387,0.408
0.66292,0.54546,0.66292
0.39091,0.22018,0.33636
0.35955,0.20455,0.34832
0.39474,0.25333,0.38158
0.69697,0.55102,0.66667
0.3345,0.21053,0.30662
0.47926,0.23256,0.43318
0.54054,0.34863,0.5045
0.32323,0.15593,0.28956
0.624,0.50406,0.576
0.40237,0.17964,0.30769
0.5912,0.35669,0.5283
0.39767,0.18935,0.35088
0.32836,0.12121,0.29851
0.47674,0.29412,0.43023
0.20238,0.03614,0.20238
0.50467,0.27359,0.42056
0.23301,0.07921,0.19418
0.37623,0.16162,0.25742
0.34595,0.17487,0.3027
0.4,0.18519,0.38182
0.54369,0.41176,0.52428
0.23596,0.09091,0.22472
0.31034,0.15789,0.2931
0.55794,0.34632,0.49786
0.42487,0.29319,0.42487
0.54193,0.3268,0.51613
0.29197,0.1037,0.18978
0.39216,0.19868,0.36601
0.34437,0.20134,0.34437
0.31034,0.13954,0.28736
0.30864,0.1625,0.29629
0.46511,0.22047,0.46511
0.90909,0.85106,0.90909
0.24657,0.09722,0.24657
