r1,r2,rl
0.31579,0.12,0.27632
0.32653,0.12414,0.32653
0.33847,0.14508,0.32821
0.34538,0.19433,0.32128
0.375,0.16092,0.30682
0.4058,0.25,0.4058
0.35862,0.16783,0.34483
0.33614,0.23932,0.2689
0.47761,0.28788,0.43283
0.28226,0.08943,0.24193
0.21176,0.07229,0.18823
0.58268,0.448,0.58268
0.29787,0.10072,0.29787
0.6166,0.34263,0.55336
0.36735,0.14344,0.3347
0.44616,0.3125,0.44616
0.44275,0.18605,0.38168
0.43443,0.22314,0.39345
0.94286,0.89855,0.94286
0.43357,0.24114,0.40559
0.30682,0.13793,0.28409
0.40268,0.21769,0.37584
0.33862,0.16043,0.27513
0.56805,0.41917,0.54438
0.42187,0.28571,0.39063
0.37288,0.18966,0.35593
0.39241,0.19231,0.32911
0.384,0.14634,0.256
0.36158,0.10285,0.36158
0.66667,0.51798,0.66667
0.42623,0.16501,0.36066
0.4923,0.28125,0.43077
0.42667,0.18919,0.37333
0.29236,0.10702,0.23255
0.50527,0.20213,0.41052
0.43166,0.18978,0.40288
0.37795,0.176,0.34646
0.32117,0.11852,0.27738
0.45815,0.25777,0.43172
0.28571,0.10063,0.26087
0.41509,0.15287,0.31447
0.31447,0.15286,0.30188
0.10606,0.04615,0.0909
0.44445,0.27807,0.42328
0.4794,0.28679,0.44195
0.39344,0.24309,0.3388
0.29578,0.11429,0.28169
0.19876,0.05032,0.16149
0.44444,0.16901,0.40278
0.33333,0.16901,0.30556
0.26042,0.04211,0.21875
0.3354,0.13836,0.28571
0.43055,0.1831,0.40278
0.35065,0.1579,0.2987
0.37143,0.21739,0.37143
0.4,0.20313,0.38462
0.42735,0.18104,0.36752
0.59542,0.4031,0.53436
0.41611,0.20408,0.34899
0.40909,0.23077,0.37878
0.22951,0.0663,0.20765
0.52229,0.29677,0.49682
0.42735,0.20869,0.37607
0.73268,0.63,0.71287
0.3741,0.16058,0.34533
0.48684,0.33333,0.38158
0.32051,0.06493,0.28205
0.30588,0.11905,0.28235
0.46666,0.22034,0.46666
0.44784,0.26599,0.43766
0.53623,0.36765,0.44928
0.40718,0.24242,0.39521
0.29703,0.13,0.26733
0.39416,0.17778,0.35037
0.4394,0.27692,0.37879
0.43835,0.19445,0.41096
0.3394,0.09816,0.26667
0.30882,0.10448,0.27942
0.45714,0.15942,0.38571
0.33333,0.17647,0.27536
0.30345,0.16783,0.30345
0.225,0.07595,0.2125
0.4955,0.2,0.44144
0.32955,0.14943,0.29545
0.36145,0.19512,0.36145
0.58039,0.4585,0.5647
0.52,0.28378,0.42667
0.31818,0.15385,0.30303
0.27174,0.0989,0.22826
0.4188,0.18103,0.36752
0.25225,0.11009,0.23423
0.25454,0.12963,0.23636
0.33721,0.14118,0.31395
0.33142,0.17341,0.30857
0.57895,0.45946,0.42105
0.4609,0.24897,0.43621
0.4,0.21519,0.375
0.23729,0.08,0.21469
0.64804,0.54237,0.64804
0.70423,0.58572,0.70423
0.41481,0.2406,0.41481
0.16541,0.06107,0.16541
0.43721,0.30047,0.4279
0.41177,0.26191,0.4
0.29508,0.18333,0.2459
0.46753,0.27948,0.45021
0.32308,0.15625,0.21539
0.43902,0.16049,0.39024
0.4421,0.32258,0.4421
0.31305,0.1416,0.27826
0.25373,0.09091,0.23881
0.59155,0.42654,0.57277
0.45256,0.16296,0.42336
0.375,0.20253,0.3625
0.25,0.05218,0.22414
0.40336,0.17094,0.36975
0.15603,0.05755,0.15603
0.44177,0.19433,0.40161
0.27586,0.08772,0.25862
0.47619,0.24194,0.44445
0.13333,0.01504,0.08889
0.45926,0.21053,0.34074
0.49143,0.24278,0.44571
0.32743,0.125,0.29203
0.27397,0.09722,0.26028
0.41026,0.16883,0.32051
0.26667,0.10577,0.22857
0.42424,0.29231,0.40909
0.43678,0.22093,0.4023
0.71698,0.49681,0.69182
0.40394,0.18905,0.35468
0.37909,0.17218,0.35294
0.31285,0.113,0.27933
0.41958,0.28369,0.41958
0.37647,0.23809,0.37647
0.45652,0.25275,0.40217
0.44516,0.25974,0.38064
0.31206,0.11511,0.29787
0.21898,0.08889,0.20438
0.44444,0.26906,0.34666
0.64634,0.4321,0.64634
0.43903,0.24631,0.36097
0.37838,0.19091,0.33333
0.53623,0.36765,0.49275
0.45834,0.19149,0.35416
0.52381,0.3253,0.47619
0.46316,0.32258,0.42105
0.28421,0.09575,0.24211
0.38961,0.22368,0.35065
0.39735,0.2953,0.39735
0.19259,0.01504,0.13333
0.36994,0.18714,0.34682
0.46258,0.22069,0.39456
0.48555,0.25731,0.43931
0.38518,0.16542,0.35556
0.45122,0.25926,0.41463
0.46602,0.29703,0.4466
0.63366,0.38,0.58416
0.37288,0.16,0.33898
0.38655,0.22222,0.38655
0.42453,0.22857,0.39623
0.4,0.24719,0.33334
0.30968,0.15686,0.27097
0.46988,0.23171,0.3735
0.35602,0.12698,0.29319
0.17094,0.03478,0.17094
0.40892,0.20225,0.35687
0.625,0.41379,0.57955
0.41892,0.27397,0.39189
0.33567,0.11348,0.27972
0.31515,0.13497,0.26666
0.48366,0.33113,0.43137
0.29139,0.16107,0.27814
0.39259,0.13433,0.35555
0.39827,0.11353,0.25974
0.37795,0.176,0.3622
0.89796,0.875,0.89796
0.51142,0.2765,0.45662
0.41619,0.25731,0.39306
0.53968,0.35294,0.51852
0.40288,0.23358,0.38848
0.46032,0.25806,0.39682
0.42105,0.24427,0.37594
0.4812,0.32061,0.3609
0.4893,0.27077,0.47095
0.37037,0.1203,0.32593
0.57692,0.46753,0.57692
0.26506,0.04938,0.24096
0.33333,0.14516,0.30159
0.40541,0.30137,0.39189
0.47853,0.31056,0.46626
0.30601,0.1105,0.30601
0.47407,0.27067,0.42963
0.23684,0.16216,0.23684
0.27907,0.12941,0.25581
0.21477,0.08163,0.21477
0.22917,0.19149,0.22917
0.40268,0.20408,0.36242
0.50224,0.30769,0.41256
0.38095,0.16552,0.31293
0.51613,0.35294,0.51613
0.33333,0.1593,0.29824
0.40764,0.14744,0.33121
0.38043,0.0989,0.36957
0.47826,0.31868,0.46739
0.31007,0.09449,0.31007
0.54422,0.34483,0.51701
0.46104,0.24837,0.3961
0.39025,0.18182,0.3252
0.42949,0.2,0.41026
0.39695,0.24806,0.39695
0.50955,0.25806,0.43313
0.43421,0.22666,0.38158
0.38095,0.2439,0.35714
0.39326,0.18181,0.35955
0.3,0.05883,0.24167
0.37349,0.15853,0.27711
0.42478,0.26786,0.39823
0.30657,0.16296,0.29197
0.28571,0.21053,0.25974
0.33503,0.13333,0.26396
0.35556,0.21053,0.35556
0.44444,0.25,0.37037
0.45263,0.24468,0.42105
0.53947,0.38667,0.52631
0.27184,0.09901,0.25243
0.44095,0.208,0.40945
0.22728,0.06154,0.18182
0.44195,0.18868,0.38203
0.47675,0.25883,0.45349
0.37126,0.14545,0.35928
0.40462,0.15205,0.36994
0.47547,0.22813,0.43774
0.2612,0.09775,0.2388
0.38519,0.18045,0.28149
0.56471,0.40476,0.51765
0.34518,0.18462,0.33503
0.39834,0.20084,0.36514
0.5445,0.34921,0.53403
0.36943,0.23226,0.35669
0.37086,0.16108,0.30463
0.57895,0.32,0.55263
0.35897,0.14286,0.30769
0.26667,0.06818,0.22222
0.27972,0.15603,0.25175
0.53763,0.30769,0.53763
0.60494,0.375,0.55555
0.44095,0.272,0.42519
0.4186,0.1647,0.32558
0.51315,0.4,0.5
0.39779,0.22346,0.37569
0.3681,0.21118,0.31901
0.24176,0.02222,0.18682
0.36943,0.14193,0.33121
0.81818,0.76744,0.81818
0.3,0.14493,0.27143
0.12121,0.0,0.10101
0.43859,0.28571,0.42105
0.48809,0.26506,0.44047
0.31111,0.13534,0.2963
0.27397,0.09722,0.26028
0.35632,0.15116,0.33333
0.69565,0.61636,0.69565
0.48485,0.29231,0.43939
0.24324,0.06849,0.17567
0.32877,0.11111,0.27397
0.27972,0.12766,0.22378
0.28148,0.1203,0.26666
0.43357,0.22695,0.41958
0.42,0.2449,0.4
0.45643,0.25941,0.39834
0.4023,0.16279,0.36782
0.6963,0.61654,0.68148
0.48387,0.28261,0.44086
