r1,r2,rl
0.34286,0.13043,0.3
0.4026,0.23684,0.37662
0.36082,0.19792,0.28866
0.23293,0.07287,0.2008
0.34694,0.13402,0.32653
0.38095,0.22581,0.34921
0.33103,0.19581,0.33103
0.39669,0.21849,0.38017
0.45283,0.21656,0.41509
0.33992,0.09562,0.3083
0.32258,0.13187,0.25807
0.56489,0.44961,0.56489
0.25714,0.07247,0.24286
0.5,0.29474,0.45833
0.34837,0.16049,0.29508
0.52459,0.41666,0.47541
0.52414,0.30769,0.51034
0.47273,0.23853,0.4
0.96454,0.93525,0.96454
0.34108,0.14173,0.23256
0.39241,0.15385,0.34177
0.40252,0.19108,0.36478
0.18714,0.04733,0.17544
0.60819,0.4497,0.59649
0.32381,0.13592,0.32381
0.39063,0.11111,0.34375
0.47799,0.25478,0.3522
0.38096,0.13592,0.3619
0.33696,0.08791,0.30435
0.9396,0.91156,0.9396
0.42491,0.19926,0.32967
0.45589,0.26865,0.42647
0.38849,0.14599,0.34532
0.24,0.10527,0.20923
0.56039,0.29268,0.49275
0.34286,0.17392,0.34286
0.39286,0.12727,0.33929
0.41558,0.21053,0.4026
0.52308,0.22798,0.41026
0.2766,0.08602,0.2766
0.48045,0.25988,0.42458
0.3609,0.16794,0.33083
0.18462,0.06217,0.1641
0.60116,0.52631,0.60116
0.40889,0.20628,0.36444
0.31441,0.11454,0.27074
0.25676,0.09589,0.2027
0.21052,0.01064,0.14737
0.40625,0.1746,0.35937
0.28916,0.13415,0.22892
0.28415,0.05525,0.22951
0.39252,0.15238,0.31775
0.42603,0.17964,0.36686
0.47853,0.31056,0.44172
0.28,0.12162,0.26667
0.53237,0.37956,0.51799
0.36449,0.16038,0.34579
0.51748,0.38298,0.51748
0.416,0.26016,0.4
0.39682,0.22581,0.36508
0.34286,0.08696,0.3
0.51613,0.23529,0.46451
0.42424,0.2268,0.38384
0.63492,0.50267,0.62434
0.26866,0.12121,0.26866
0.32877,0.20276,0.24658
0.33987,0.17219,0.31372
0.41667,0.13253,0.38096
0.31034,0.08772,0.2931
0.45801,0.24553,0.40713
0.48684,0.30667,0.46053
0.32787,0.13259,0.28415
0.35,0.20202,0.35
0.29268,0.08264,0.27642
0.57627,0.41379,0.55933
0.4586,0.19355,0.44586
0.25926,0.075,0.22222
0.30215,0.10219,0.28777
0.2695,0.10072,0.25532
0.44595,0.26028,0.41892
0.57831,0.39024,0.55421
0.14194,0.07843,0.14194
0.42453,0.14286,0.40566
0.3125,0.14737,0.29166
0.39362,0.22581,0.38298
0.64233,0.5,0.63504
0.40476,0.19277,0.36905
0.34899,0.13606,0.32215
0.36364,0.13526,0.36364
0.34,0.15151,0.25
0.32857,0.15942,0.3
0.35461,0.17266,0.34043
0.24561,0.071,0.21053
0.37949,0.1658,0.34872
0.28571,0.1875,0.26531
0.48673,0.28572,0.46018
0.50932,0.37736,0.48447
0.2994,0.07273,0.20359
0.78947,0.69333,0.72368
0.62069,0.41958,0.5931
0.45162,0.23529,0.42581
0.22973,0.12329,0.18919
0.47369,0.30089,0.45614
0.36364,0.11892,0.35294
0.26277,0.19259,0.26277
0.44621,0.21687,0.39841
0.36923,0.20312,0.32308
0.35821,0.15152,0.31343
0.38938,0.16216,0.37168
