r1,r2,rl
0.37762,0.18439,0.36364
0.41808,0.18286,0.35028
0.42308,0.23301,0.375
0.31343,0.10526,0.26866
0.45128,0.25907,0.42051
0.51471,0.32836,0.5
0.31884,0.20588,0.31884
0.48438,0.31746,0.46875
0.47482,0.36497,0.47482
0.23045,0.05809,0.22222
0.35185,0.15094,0.35185
0.50932,0.38994,0.49689
0.32394,0.14286,0.29578
0.49123,0.23894,0.41228
0.30937,0.14879,0.27451
0.32432,0.20548,0.28379
0.40678,0.31034,0.40678
0.29893,0.1577,0.26334
0.3622,0.24,0.3622
0.29412,0.08955,0.23529
0.43243,0.20765,0.37837
0.31507,0.15278,0.28767
0.24828,0.06993,0.22069
0.52174,0.38462,0.52174
0.38333,0.23729,0.35
0.28302,0.0577,0.26415
0.50704,0.31429,0.47887
0.30303,0.08248,0.28283
0.38744,0.19048,0.35602
0.40845,0.21429,0.35211
0.39088,0.17049,0.37785
0.5,0.28169,0.40278
0.25301,0.04878,0.21686
0.34161,0.15625,0.31056
0.44303,0.25641,0.43038
0.38298,0.17266,0.29787
0.28571,0.17094,0.26891
0.42857,0.21053,0.33766
0.4375,0.26316,0.42709
0.25316,0.05128,0.22785
0.47134,0.23226,0.40764
0.26866,0.12122,0.25373
0.32609,0.12088,0.28261
0.48,0.3237,0.45714
0.31837,0.12346,0.28571
0.31847,0.10323,0.28025
0.25676,0.06849,0.24324
0.14864,0.0274,0.12162
0.4472,0.18868,0.40994
0.31081,0.10959,0.2973
0.2139,0.06486,0.20321
0.35616,0.16667,0.31507
0.28985,0.08823,0.23188
0.39024,0.25926,0.37805
0.35212,0.18571,0.35212
0.53521,0.35714,0.47887
0.36363,0.20859,0.33939
0.44444,0.29032,0.33333
0.44,0.2027,0.34667
0.56604,0.38217,0.5283
0.31579,0.1374,0.27068
0.40218,0.16484,0.36956
0.32143,0.2,0.32143
0.45454,0.25287,0.44318
0.28572,0.19848,0.28572
0.34906,0.2,0.23585
0.30075,0.13741,0.27067
0.40909,0.19541,0.38636
0.28829,0.05504,0.27027
0.42927,0.18627,0.37073
0.55556,0.32394,0.48611
0.33708,0.13636,0.29213
0.30392,0.13861,0.29412
0.35484,0.14754,0.33871
0.53333,0.37288,0.53333
0.4,0.16261,0.352
0.25731,0.0355,0.22222
0.15385,0.0,0.12308
0.29412,0.16418,0.27941
0.37594,0.22901,0.30075
0.47368,0.30667,0.43421
0.4106,0.18792,0.37086
0.41584,0.13,0.38614
0.36471,0.14286,0.31765
0.53416,0.2893,0.47205
0.51145,0.40769,0.49618
0.41558,0.19737,0.4026
0.33803,0.15714,0.29578
0.40415,0.19896,0.40415
0.33333,0.15888,0.30555
0.34921,0.20968,0.31746
0.18804,0.05217,0.17094
0.34731,0.18182,0.27545
0.27979,0.13613,0.24871
0.27827,0.15929,0.19131
0.44263,0.21488,0.41803
0.50685,0.40277,0.50685
0.26829,0.08642,0.21951
0.4557,0.29487,0.41772
0.63945,0.45517,0.61224
0.36601,0.19868,0.33987
0.13953,0.04724,0.12404
0.38914,0.22831,0.37104
0.49123,0.26036,0.45614
0.30534,0.17054,0.29008
0.44186,0.19531,0.39535
0.31932,0.17094,0.28571
