r1,r2,rl
0.46561,0.20321,0.40212
0.30555,0.04226,0.20833
0.47205,0.25158,0.37267
0.38494,0.17721,0.30962
0.47368,0.2766,0.42105
0.36364,0.20168,0.34711
0.38017,0.2353,0.34711
0.2449,0.125,0.22449
0.41379,0.23776,0.38621
0.2923,0.09302,0.27692
0.26923,0.09804,0.25
0.53125,0.39683,0.53125
0.18571,0.02899,0.14286
0.39379,0.20942,0.39379
0.33698,0.18462,0.31948
0.47619,0.29032,0.39682
0.5946,0.42202,0.54054
0.51948,0.36681,0.4935
0.4812,0.24428,0.42105
0.53623,0.35294,0.52174
0.30488,0.11111,0.2439
0.42604,0.22754,0.39053
0.20408,0.05517,0.17687
0.53416,0.4151,0.50932
0.33071,0.208,0.33071
0.33094,0.13139,0.28777
0.53623,0.29412,0.43479
0.21782,0.04041,0.17822
0.31169,0.11842,0.2987
0.59091,0.38461,0.56061
0.43572,0.20863,0.38571
0.51064,0.27338,0.41135
0.2585,0.08276,0.23129
0.20072,0.09386,0.18638
0.57647,0.28571,0.49412
0.33083,0.15267,0.27068
0.36364,0.11765,0.31405
0.53793,0.32168,0.49655
0.49463,0.27174,0.41936
0.30066,0.14569,0.30066
0.5,0.30337,0.46667
0.42336,0.20741,0.37956
0.29834,0.05587,0.25414
0.4086,0.22826,0.4086
0.42969,0.25197,0.39844
0.25757,0.09231,0.24243
0.18421,0.08,0.18421
0.20606,0.06135,0.18182
0.42857,0.2029,0.4
0.41611,0.21768,0.37584
0.24176,0.07778,0.20879
0.38709,0.08197,0.32258
0.46043,0.26277,0.46043
0.34667,0.18919,0.29333
0.27711,0.14634,0.26506
0.46875,0.26984,0.39062
0.6054,0.37158,0.54054
0.48889,0.30075,0.47407
0.64789,0.47143,0.6338
0.67164,0.48485,0.61194
0.32214,0.12244,0.26846
0.3876,0.18898,0.31008
0.45218,0.28319,0.4
0.61538,0.53333,0.61538
0.40541,0.20548,0.37838
0.35228,0.2069,0.30682
0.32051,0.14285,0.29487
0.33334,0.1375,0.30864
0.2449,0.0625,0.18367
0.44391,0.22549,0.41463
0.34731,0.2303,0.31138
0.42857,0.22681,0.34694
0.30108,0.1413,0.27957
0.36036,0.14679,0.34234
0.69841,0.51613,0.69841
0.60563,0.34286,0.50704
0.30188,0.11465,0.30188
0.20895,0.0303,0.13433
0.5,0.28767,0.44595
0.32857,0.2029,0.31429
0.38028,0.28572,0.33803
0.29114,0.16666,0.29114
0.51337,0.21622,0.48129
0.36585,0.18519,0.32927
0.33333,0.15663,0.30952
0.69768,0.64844,0.67442
0.52695,0.29091,0.44311
0.34722,0.15493,0.29167
0.35294,0.15841,0.33333
0.34225,0.17298,0.27808
0.384,0.19513,0.336
0.32693,0.19608,0.30769
0.35468,0.15921,0.33497
0.35023,0.18605,0.33179
0.94118,0.81632,0.78431
0.52582,0.30332,0.48826
0.42945,0.24845,0.42945
0.18286,0.05781,0.17143
0.60432,0.51095,0.56115
0.60402,0.46258,0.56376
0.44138,0.23776,0.44138
0.32592,0.13534,0.31111
0.44776,0.28141,0.41791
0.39521,0.26667,0.38323
0.35461,0.20144,0.34042
0.46428,0.31532,0.4375
0.30075,0.13741,0.19549
0.41726,0.11678,0.34532
0.31325,0.24691,0.31325
0.34722,0.19718,0.31944
0.23009,0.07207,0.21239
0.54187,0.33831,0.4729
0.58334,0.3662,0.51389
0.56115,0.39416,0.56115
0.16593,0.03524,0.14847
0.49296,0.27143,0.38028
0.26573,0.09929,0.23776
0.52055,0.32258,0.49315
0.32076,0.15384,0.30189
0.52174,0.2647,0.52174
0.13636,0.01538,0.13636
