r1,r2,rl
0.229,0.13953,0.19848
0.41428,0.15942,0.38571
0.35107,0.15054,0.29787
0.30147,0.12592,0.28676
0.41629,0.17352,0.31674
0.30769,0.125,0.24615
0.26154,0.04688,0.23077
0.59017,0.35,0.55738
0.32168,0.15603,0.32168
0.34483,0.06087,0.28449
0.29545,0.13953,0.25
0.40277,0.19718,0.36111
0.22069,0.04196,0.16551
0.47716,0.3282,0.41624
0.43852,0.22223,0.40574
0.46896,0.20979,0.42759
0.41176,0.28,0.41176
0.31655,0.16666,0.26618
0.42029,0.23529,0.37681
0.26666,0.05085,0.23333
0.2695,0.11511,0.21276
0.33548,0.183,0.32258
0.31945,0.0986,0.29167
0.63388,0.43094,0.59016
0.40351,0.21429,0.38596
0.4375,0.19047,0.42188
0.45669,0.208,0.37795
0.43397,0.19231,0.35849
0.38096,0.13253,0.32143
0.57364,0.3622,0.55814
0.41281,0.19355,0.34875
0.34146,0.16529,0.30894
0.36129,0.13072,0.32258
0.3754,0.14983,0.3301
0.4,0.16666,0.35294
0.41538,0.15625,0.38462
0.34188,0.13913,0.32479
0.46715,0.28148,0.40876
0.44444,0.2449,0.41414
0.31461,0.14772,0.30337
0.4023,0.20931,0.37931
0.31148,0.11667,0.27869
0.29032,0.07609,0.24731
0.54255,0.33333,0.51064
0.29245,0.11429,0.25472
0.2093,0.04706,0.19767
0.13793,0.01163,0.12643
0.12414,0.02797,0.11034
0.4,0.18045,0.32593
0.23611,0.08451,0.23611
0.20732,0.02469,0.18293
0.31579,0.125,0.31579
0.4,0.15625,0.32308
0.3662,0.18571,0.30986
0.28947,0.17333,0.27631
0.45454,0.24615,0.40909
0.4,0.21428,0.36471
0.44777,0.27273,0.41791
0.42424,0.18405,0.36364
0.51352,0.28767,0.45946
0.23438,0.06349,0.20313
0.39189,0.16439,0.37838
0.41379,0.17544,0.39655
0.54217,0.43902,0.53012
0.30986,0.14286,0.29578
0.47436,0.2987,0.34615
0.3,0.15942,0.27143
0.28221,0.07454,0.26994
0.43243,0.11009,0.36036
0.42647,0.2266,0.41176
0.39683,0.17742,0.34921
0.33766,0.11842,0.32468
0.35407,0.14493,0.32536
0.34921,0.12903,0.31746
0.44248,0.25225,0.40708
0.45926,0.27068,0.41481
0.33514,0.13115,0.29189
0.2963,0.1203,0.20741
0.41892,0.23288,0.36487
0.31579,0.19847,0.30075
0.43902,0.30864,0.43902
0.25974,0.13158,0.24676
0.46237,0.22826,0.45162
0.28235,0.10715,0.27059
0.40506,0.21795,0.37975
0.51476,0.34894,0.48945
0.5034,0.31724,0.5034
0.35862,0.13986,0.27586
0.37159,0.18785,0.37159
0.38356,0.11982,0.31964
0.25478,0.10323,0.21656
0.33333,0.12308,0.27273
0.27323,0.09945,0.24043
0.32222,0.14607,0.28889
0.35555,0.20455,0.33334
0.41,0.18182,0.38
0.3268,0.1457,0.27451
0.25582,0.08235,0.25582
0.49333,0.33784,0.46667
0.44118,0.26866,0.41176
0.42553,0.18705,0.36879
0.18605,0.07874,0.13953
0.36,0.13131,0.33
0.50293,0.28402,0.47953
0.26866,0.16667,0.25373
0.48819,0.24603,0.44882
0.57391,0.38938,0.4
0.33803,0.11428,0.32394
0.37398,0.19835,0.34146
0.18966,0.05263,0.13793
0.29032,0.13114,0.25807
0.46,0.33333,0.46
0.53435,0.24806,0.41221
0.33766,0.17105,0.32468
0.28814,0.11111,0.25424
0.48175,0.2963,0.45255
0.15715,0.08696,0.15715
0.44635,0.22511,0.39485
0.53571,0.32727,0.5
0.53781,0.20513,0.52101
0.2353,0.10256,0.2353
0.50769,0.29687,0.35384
0.21918,0.04167,0.21918
0.29319,0.08466,0.27225
0.33645,0.17143,0.31775
0.28169,0.14285,0.23944
0.34737,0.1383,0.25263
0.29167,0.14084,0.27778
0.5,0.28156,0.43269
0.52023,0.24562,0.41618
0.28571,0.08093,0.26286
0.43697,0.20513,0.38656
0.39394,0.26154,0.39394
0.35374,0.22069,0.35374
0.43312,0.27097,0.34395
0.41429,0.24638,0.37143
0.41751,0.29153,0.36364
0.34782,0.16176,0.31884
