r1,r2,rl
0.54545,0.5,0.54545
0.77419,0.41379,0.64516
0.6,0.44445,0.6
0.5,0.22222,0.5
0.125,0.0,0.125
0.34483,0.07407,0.27586
0.25,0.0,0.25
0.0,0.0,0.0
0.26087,0.09524,0.26087
1.0,1.0,1.0
0.125,0.0,0.125
0.63636,0.3,0.63636
0.14286,0.0,0.14286
0.86956,0.76191,0.86956
0.53333,0.35714,0.4
0.33333,0.0,0.2381
0.22222,0.0,0.22222
0.33333,0.0,0.25
0.32258,0.06896,0.25806
0.38095,0.10526,0.38095
0.5,0.33334,0.375
0.5,0.15384,0.35714
0.22222,0.0,0.14815
0.36363,0.1,0.27273
0.15384,0.0,0.15384
0.11764,0.0,0.11764
0.27273,0.1,0.27273
0.16216,0.0,0.10811
0.6,0.5,0.53333
0.42857,0.07692,0.35714
0.92857,0.84615,0.92857
0.2069,0.0,0.2069
0.4,0.22222,0.4
0.34782,0.19048,0.34782
0.0,0.0,0.0
0.23077,0.0,0.23077
0.29629,0.08,0.22222
0.14286,0.0,0.14286
0.8421,0.66667,0.78948
0.07692,0.0,0.07692
0.22222,0.08,0.22222
0.63158,0.47059,0.63158
0.08333,0.0,0.08333
0.35897,0.21622,0.25641
0.08695,0.0,0.08695
0.25807,0.06897,0.19355
0.73171,0.66667,0.73171
0.4,0.08696,0.4
0.51852,0.32,0.44444
0.80851,0.66667,0.76596
0.34782,0.09524,0.26087
0.47619,0.31579,0.47619
0.78947,0.77778,0.78947
0.11111,0.0,0.11111
0.88235,0.8125,0.88235
0.42105,0.16666,0.36842
0.72727,0.6,0.72727
0.33333,0.21428,0.33333
0.0,0.0,0.0
1.0,1.0,1.0
0.27586,0.07407,0.2069
0.57143,0.16667,0.42857
0.54545,0.12903,0.36364
0.30769,0.0,0.30769
0.46154,0.32432,0.46154
0.4,0.15385,0.4
0.28572,0.21053,0.28572
0.57143,0.10526,0.28572
0.18182,0.0,0.18182
0.62857,0.48485,0.62857
0.78572,0.69231,0.78572
0.0,0.0,0.0
0.09091,0.0,0.09091
0.2,0.11111,0.2
0.42105,0.2353,0.42105
0.60606,0.45161,0.60606
0.73684,0.58824,0.73684
0.2,0.0,0.2
0.12121,0.0,0.12121
0.33333,0.25,0.33333
0.35714,0.07692,0.35714
0.14286,0.0,0.14286
0.31579,0.11764,0.31579
0.08695,0.0,0.08695
0.78261,0.76191,0.78261
0.36364,0.22223,0.36364
0.85714,0.73684,0.85714
0.5,0.33333,0.4
0.33333,0.21429,0.33333
0.09091,0.0,0.09091
0.66666,0.625,0.66666
0.61111,0.41177,0.38889
0.0,0.0,0.0
0.58824,0.53333,0.58824
0.0,0.0,0.0
0.22222,0.08,0.22222
0.6,0.5,0.6
0.08333,0.0,0.08333
0.125,0.0,0.125
0.4,0.17392,0.32
1.0,1.0,1.0
0.30769,0.08333,0.30769
0.8,0.5,0.4
0.0,0.0,0.0
1.0,1.0,1.0
0.125,0.0,0.125
0.9375,0.8,0.9375
0.78261,0.38095,0.69565
0.08333,0.0,0.08333
0.0,0.0,0.0
0.9697,0.90322,0.9697
0.5,0.30769,0.42857
0.45455,0.2,0.27273
0.26087,0.09524,0.26087
0.88,0.69565,0.88
0.42857,0.16667,0.28571
1.0,1.0,1.0
0.26316,0.0,0.26316
0.0,0.0,0.0
