r1,r2,rl
0.52174,0.47619,0.52174
0.54545,0.4,0.54545
0.33333,0.125,0.33333
0.55556,0.25,0.55556
0.14286,0.0,0.14286
0.29412,0.0625,0.23529
0.0,0.0,0.0
0.10526,0.0,0.10526
0.0,0.0,0.0
1.0,1.0,1.0
0.42106,0.11765,0.31579
0.6,0.33333,0.5
0.25,0.0,0.25
0.86956,0.76191,0.86956
0.54545,0.32258,0.42424
0.17022,0.0,0.12766
0.0,0.0,0.0
0.36364,0.0,0.18182
0.27586,0.0,0.13793
0.0,0.0,0.0
0.41667,0.18182,0.25
0.15385,0.0,0.07692
0.24,0.0,0.16
0.4,0.08696,0.24
0.31111,0.04651,0.22222
0.0,0.0,0.0
0.30769,0.16667,0.23077
0.90909,0.83871,0.90909
0.66667,0.42105,0.57143
0.24,0.08696,0.16
0.6,0.5,0.6
0.27778,0.05882,0.22222
0.0,0.0,0.0
0.18182,0.0,0.18182
0.0,0.0,0.0
0.51852,0.32,0.51852
0.18182,0.0,0.09091
0.15385,0.0,0.15385
0.8421,0.66667,0.78948
0.07692,0.0,0.07692
1.0,1.0,1.0
0.63158,0.47059,0.63158
0.10526,0.0,0.10526
0.30303,0.12903,0.24242
0.08,0.0,0.08
0.33333,0.09091,0.25
0.57143,0.54545,0.57143
0.34783,0.09524,0.26087
0.51428,0.36363,0.51428
0.74419,0.58537,0.74419
0.2,0.0,0.2
0.25,0.09091,0.25
0.5,0.29412,0.5
0.10526,0.0,0.10526
1.0,1.0,1.0
0.42105,0.22222,0.36842
1.0,1.0,1.0
0.62222,0.46512,0.48889
0.33333,0.125,0.33333
1.0,1.0,1.0
0.32258,0.06897,0.19355
0.25,0.0,0.125
0.32258,0.06897,0.32258
0.0,0.0,0.0
0.48485,0.38709,0.48485
0.5,0.33333,0.5
0.0,0.0,0.0
0.22222,0.0,0.22222
0.27273,0.0,0.18182
0.34285,0.24242,0.17143
0.85714,0.84615,0.85714
0.33333,0.0,0.33333
0.0,0.0,0.0
0.22222,0.125,0.22222
0.42105,0.2353,0.42105
0.66667,0.42857,0.53333
0.73684,0.58824,0.73684
0.17392,0.0,0.08696
0.0,0.0,0.0
0.625,0.28571,0.625
0.51852,0.16,0.44444
0.0,0.0,0.0
0.34782,0.09524,0.26087
0.07692,0.0,0.07692
0.86956,0.85714,0.86956
0.0,0.0,0.0
0.85714,0.73684,0.85714
0.4,0.15385,0.26666
0.33333,0.21429,0.33333
0.21053,0.11765,0.21053
0.71429,0.5,0.71429
0.42424,0.3871,0.42424
0.0,0.0,0.0
0.35294,0.26666,0.35294
0.11111,0.0,0.11111
0.38462,0.16666,0.30769
0.6,0.5,0.6
0.32258,0.06897,0.19354
0.25,0.0,0.25
0.38095,0.21053,0.38095
1.0,1.0,1.0
0.09091,0.0,0.09091
0.8,0.5,0.4
0.0,0.0,0.0
1.0,1.0,1.0
0.53333,0.15385,0.4
0.82758,0.81481,0.82758
0.4,0.17392,0.4
0.06667,0.0,0.06667
0.0,0.0,0.0
0.9697,0.90322,0.9697
0.375,0.13333,0.3125
0.6,0.5,0.6
0.14815,0.0,0.14815
0.83333,0.54545,0.83333
0.44444,0.28572,0.44444
1.0,1.0,1.0
0.2069,0.07407,0.2069
0.0,0.0,0.0
0.22222,0.125,0.22222
0.47619,0.21053,0.38095
0.42424,0.25806,0.42424
1.0,1.0,1.0
0.28571,0.06061,0.28571
0.47619,0.31579,0.47619
0.30769,0.0,0.30769
1.0,1.0,1.0
0.57143,0.31579,0.57143
1.0,1.0,1.0
0.88,0.60869,0.64
0.26667,0.15385,0.26667
0.32,0.08695,0.32
0.2,0.0,0.2
0.0,0.0,0.0
0.59259,0.08,0.44444
0.06897,0.0,0.06897
0.11111,0.0,0.11111
0.17392,0.0,0.17392
0.0,0.0,0.0
1.0,1.0,1.0
0.34483,0.0,0.27586
0.44445,0.125,0.44445
0.3125,0.06666,0.25
0.3,0.22222,0.3
0.0606,0.0,0.0606
0.0,0.0,0.0
0.61539,0.54545,0.61539
0.48,0.26087,0.48
0.0,0.0,0.0
0.11111,0.0,0.11111
0.28571,0.16667,0.28571
0.08334,0.0,0.08334
0.37037,0.16,0.14815
0.22222,0.0,0.14815
0.32,0.17391,0.32
0.24243,0.06452,0.24243
0.57143,0.30769,0.5
0.57143,0.24242,0.45714
0.8,0.5,0.8
0.26667,0.15385,0.26667
0.32,0.17392,0.32
0.5,0.0,0.375
0.59259,0.4,0.59259
0.35,0.1579,0.35
1.0,1.0,1.0
0.09091,0.0,0.09091
0.5,0.42857,0.5
0.11111,0.0,0.11111
0.48276,0.37037,0.48276
0.26666,0.15385,0.26666
0.35714,0.07692,0.14286
0.18182,0.1,0.18182
0.64286,0.38462,0.57143
0.25,0.0,0.25
0.47059,0.375,0.47059
1.0,1.0,1.0
0.31579,0.2353,0.31579
0.0,0.0,0.0
0.0,0.0,0.0
0.16667,0.0,0.08333
0.25,0.0,0.25
0.35294,0.0,0.23529
0.29412,0.0625,0.17647
0.25,0.18182,0.25
1.0,1.0,1.0
0.28572,0.10526,0.28572
0.5,0.4,0.5
0.44444,0.16,0.2963
0.88,0.78261,0.88
0.13333,0.0,0.13333
0.0,0.0,0.0
0.4,0.15385,0.4
0.0606,0.0,0.0606
1.0,1.0,1.0
0.72222,0.64706,0.72222
0.29412,0.0625,0.29412
0.72727,0.6,0.72727
0.0,0.0,0.0
0.1,0.0,0.1
0.61111,0.41177,0.5
0.27273,0.0,0.18182
0.93333,0.85714,0.93333
0.125,0.0,0.125
0.11765,0.0,0.11765
0.16667,0.09091,0.16667
0.16667,0.0,0.08333
0.27273,0.1,0.27273
0.43479,0.28571,0.26087
0.2069,0.0,0.13793
0.05406,0.0,0.05406
0.92308,0.84,0.92308
