r1,r2,rl
0.6,0.55556,0.6
0.6087,0.47619,0.6087
0.43479,0.28572,0.43479
0.42105,0.11765,0.42105
0.11111,0.0,0.11111
0.34483,0.07407,0.27586
0.0,0.0,0.0
0.0,0.0,0.0
0.14815,0.0,0.07407
1.0,1.0,1.0
0.5,0.4,0.5
0.63158,0.23529,0.52632
0.5,0.0,0.25
0.86956,0.76191,0.86956
0.33333,0.27273,0.33333
0.36363,0.0,0.31818
0.08334,0.0,0.08334
0.22222,0.125,0.22222
0.30303,0.0,0.12121
0.31579,0.11765,0.31579
0.5,0.30769,0.42857
0.2,0.0,0.2
0.1875,0.0,0.1875
0.43479,0.0,0.43479
0.11429,0.0,0.11429
0.11428,0.0,0.11428
0.24,0.08696,0.16
0.6,0.35715,0.6
0.51612,0.34483,0.3871
0.33333,0.09091,0.25
0.6,0.55556,0.6
0.26666,0.0,0.2
0.47059,0.26666,0.23529
0.42105,0.2353,0.42105
0.09091,0.0,0.09091
0.4,0.12121,0.28572
0.32,0.08695,0.16
0.1,0.0,0.1
0.8421,0.66667,0.78948
0.25,0.0,0.25
0.26087,0.19048,0.26087
0.63158,0.47059,0.63158
0.24,0.0,0.16
0.32432,0.17143,0.21621
0.0,0.0,0.0
0.32258,0.2069,0.32258
0.52632,0.5,0.52632
0.4,0.08696,0.32
0.58824,0.5,0.58824
0.74419,0.58537,0.74419
0.23077,0.0,0.15385
0.75,0.63636,0.75
0.77419,0.75862,0.77419
0.08696,0.0,0.08696
1.0,1.0,1.0
0.4,0.18181,0.4
1.0,1.0,1.0
0.47368,0.22222,0.21053
0.0,0.0,0.0
1.0,1.0,1.0
0.55556,0.35294,0.44444
0.42857,0.0,0.28571
0.45161,0.06897,0.32258
0.0,0.0,0.0
0.4375,0.26667,0.375
0.6,0.25,0.4
0.26087,0.19048,0.26087
0.33333,0.0,0.11111
0.17391,0.09524,0.17391
0.35715,0.23077,0.35715
0.75862,0.59259,0.75862
0.16667,0.0,0.16667
0.26087,0.0,0.17392
0.11111,0.0,0.11111
0.5,0.22222,0.5
0.11428,0.0,0.05714
0.43479,0.19048,0.43479
0.21053,0.0,0.21053
0.2,0.0,0.1
0.46154,0.18182,0.46154
0.24,0.08695,0.24
0.11765,0.0,0.11765
0.28572,0.10526,0.28572
0.09524,0.0,0.09524
0.86956,0.85714,0.86956
0.0,0.0,0.0
0.85714,0.73684,0.85714
0.35294,0.13333,0.23529
0.33333,0.21429,0.33333
0.14815,0.08,0.14815
0.66667,0.46154,0.66667
0.42424,0.25807,0.30303
0.07693,0.0,0.07693
0.58824,0.53333,0.58824
0.11111,0.0,0.11111
0.2,0.07143,0.2
0.6,0.5,0.6
0.31579,0.05556,0.15789
0.16,0.0,0.16
0.6087,0.38095,0.34782
1.0,1.0,1.0
0.43479,0.09524,0.34783
0.8,0.5,0.4
0.0,0.0,0.0
1.0,1.0,1.0
0.5,0.14286,0.375
0.83871,0.68965,0.83871
0.64,0.26087,0.56
0.14286,0.07692,0.14286
0.16667,0.0,0.16667
1.0,1.0,1.0
0.15385,0.0,0.15385
0.24,0.0,0.16
0.25,0.09091,0.25
0.83333,0.54545,0.83333
0.5,0.4,0.5
1.0,1.0,1.0
0.26666,0.07143,0.13333
0.5,0.2,0.5
0.25,0.14286,0.25
0.45455,0.2,0.36364
0.45161,0.27586,0.45161
1.0,1.0,1.0
0.21429,0.07692,0.21429
0.35294,0.13333,0.35294
0.0,0.0,0.0
1.0,1.0,1.0
0.57143,0.31579,0.57143
1.0,1.0,1.0
0.83334,0.45455,0.58333
0.45455,0.3,0.45455
0.36364,0.1,0.36364
0.52632,0.23529,0.42105
0.43479,0.28572,0.43479
0.52174,0.28572,0.52174
0.37838,0.17143,0.32432
0.125,0.0,0.125
0.125,0.0,0.125
0.0,0.0,0.0
1.0,1.0,1.0
0.23529,0.0,0.23529
0.31579,0.0,0.21053
0.41379,0.07407,0.34483
0.69565,0.57143,0.69565
0.0,0.0,0.0
0.5,0.38462,0.5
0.16667,0.0,0.16667
0.69231,0.41667,0.38462
0.13333,0.0,0.13333
0.13333,0.0,0.13333
0.33333,0.2,0.33333
0.19048,0.0,0.19048
0.34483,0.07407,0.34483
0.17392,0.0,0.08696
0.57142,0.38462,0.57142
0.45455,0.2,0.45455
0.47059,0.3125,0.47059
0.38889,0.17647,0.38889
0.8,0.5,0.8
0.28571,0.16667,0.28571
0.63636,0.3,0.63636
0.4,0.15385,0.26666
0.2,0.0,0.2
0.36842,0.16667,0.31579
1.0,1.0,1.0
0.26087,0.09524,0.26087
1.0,1.0,1.0
0.21053,0.0,0.21053
