r1,r2,rl
0.52174,0.47619,0.52174
0.78572,0.61538,0.71428
0.57143,0.42106,0.57143
0.31579,0.11765,0.31579
0.57143,0.21053,0.57143
0.34483,0.07407,0.27586
0.0,0.0,0.0
0.2,0.11111,0.2
0.09091,0.0,0.09091
1.0,1.0,1.0
0.11765,0.0,0.11765
0.28572,0.0,0.19048
0.36364,0.0,0.18182
0.86956,0.76191,0.86956
0.51613,0.34483,0.25806
0.2439,0.0,0.19513
0.1,0.0,0.1
0.31579,0.11765,0.31579
0.08,0.0,0.08
0.23529,0.0,0.23529
0.35,0.1579,0.25
0.26667,0.0,0.26667
0.32258,0.06897,0.25807
0.09091,0.0,0.09091
0.08511,0.0,0.08511
0.0,0.0,0.0
0.08333,0.0,0.08333
0.4,0.18182,0.28572
0.42857,0.23077,0.28572
0.17391,0.0,0.08696
0.58065,0.48276,0.58065
0.26316,0.0,0.21053
0.43478,0.19048,0.43478
0.10526,0.0,0.10526
0.26666,0.14286,0.26666
0.34782,0.0,0.34782
0.28572,0.0,0.19048
0.28571,0.21053,0.28571
0.8421,0.66667,0.78948
0.3125,0.2,0.3125
0.38461,0.0,0.3077
0.63158,0.47059,0.63158
0.21053,0.0,0.21053
0.32432,0.17143,0.21621
0.0,0.0,0.0
0.54545,0.19355,0.42424
0.69767,0.63415,0.69767
0.54545,0.3,0.45455
0.59459,0.51429,0.59459
0.74419,0.58537,0.74419
0.16,0.0,0.08
0.16,0.08696,0.16
0.77419,0.75862,0.77419
0.30769,0.0,0.15385
1.0,1.0,1.0
0.43902,0.15384,0.34146
1.0,1.0,1.0
0.66666,0.5,0.47619
0.0,0.0,0.0
1.0,1.0,1.0
0.61111,0.47059,0.44444
0.26666,0.0,0.13333
0.45714,0.06061,0.28572
0.15385,0.0,0.15385
0.47059,0.25,0.35294
0.2353,0.13333,0.2353
0.2,0.0,0.1
0.25,0.0,0.25
0.16,0.0,0.16
0.37037,0.16,0.29629
0.85714,0.84615,0.85714
0.30769,0.0,0.30769
0.1,0.0,0.1
0.2,0.11111,0.2
0.42105,0.2353,0.42105
0.48649,0.34286,0.37838
0.45455,0.2,0.45455
0.26667,0.0,0.13333
0.14634,0.0,0.14634
0.23529,0.0,0.23529
0.53333,0.35714,0.53333
0.11765,0.0,0.11765
0.28572,0.21053,0.28572
0.07692,0.0,0.07692
0.5,0.07692,0.42857
0.0,0.0,0.0
0.69231,0.41667,0.46154
0.375,0.14286,0.25
0.33333,0.21429,0.33333
0.0,0.0,0.0
0.6,0.55556,0.6
0.48276,0.2963,0.41379
0.0,0.0,0.0
0.58824,0.53333,0.58824
0.21053,0.11765,0.21053
0.21429,0.07693,0.14286
0.6,0.5,0.6
0.1875,0.06667,0.1875
0.0,0.0,0.0
0.54545,0.4,0.36363
1.0,1.0,1.0
0.2963,0.08,0.2963
0.4,0.0,0.4
0.0,0.0,0.0
1.0,1.0,1.0
0.31579,0.11765,0.31579
0.9697,0.77419,0.72727
0.44444,0.16,0.44444
0.14286,0.0,0.14286
0.0,0.0,0.0
1.0,1.0,1.0
