r1,r2,rl
0.35294,0.26667,0.35294
0.75862,0.44444,0.41379
0.45455,0.3,0.45455
0.52632,0.23529,0.52632
0.47619,0.21053,0.47619
0.26316,0.05555,0.21053
0.15385,0.0,0.15385
0.22222,0.125,0.22222
0.08,0.0,0.08
0.37037,0.32,0.37037
0.42857,0.33333,0.42857
0.26087,0.0,0.17392
0.8,0.0,0.4
0.86956,0.76191,0.86956
0.64517,0.41379,0.51613
0.55814,0.19512,0.51163
0.14286,0.0,0.14286
0.3,0.11111,0.3
0.24,0.08696,0.16
0.375,0.14286,0.375
0.46154,0.25,0.38462
0.41379,0.22222,0.27586
0.25807,0.0,0.19355
0.45455,0.1,0.36363
0.45,0.1579,0.4
0.14815,0.0,0.14815
0.47059,0.1875,0.41176
0.7742,0.62069,0.70968
0.53846,0.33333,0.46154
0.32,0.08696,0.24
0.58065,0.41379,0.51613
0.35294,0.125,0.29412
0.4,0.11111,0.4
0.23077,0.08333,0.23077
0.28571,0.0,0.28571
0.07692,0.0,0.07692
0.29629,0.08,0.22222
0.0,0.0,0.0
0.8421,0.66667,0.78948
0.32258,0.13793,0.25807
0.3077,0.08333,0.15384
0.76191,0.73684,0.76191
0.22223,0.0,0.22223
0.44444,0.11764,0.44444
0.1,0.0,0.1
0.5,0.15384,0.35714
0.69767,0.63415,0.69767
0.21053,0.0,0.21053
0.84849,0.77419,0.84849
0.74419,0.58537,0.65116
0.38095,0.10526,0.19048
0.4,0.26087,0.4
0.55172,0.44444,0.55172
0.09091,0.0,0.09091
1.0,1.0,1.0
0.45,0.21053,0.45
0.61538,0.18182,0.30769
0.32258,0.13793,0.19355
0.125,0.0,0.125
1.0,1.0,1.0
0.33333,0.07143,0.13333
0.28571,0.0,0.14286
0.5,0.13333,0.4375
0.18182,0.0,0.18182
0.42424,0.19355,0.30303
0.4,0.15385,0.26667
0.0,0.0,0.0
0.42105,0.0,0.21053
0.36364,0.1,0.27273
0.37037,0.24,0.37037
0.68965,0.51852,0.68965
0.18182,0.0,0.18182
0.14286,0.0,0.14286
0.0,0.0,0.0
0.42105,0.2353,0.42105
0.64516,0.41379,0.58065
0.6,0.33333,0.6
0.19048,0.0,0.19048
0.05,0.0,0.05
0.42857,0.16667,0.42857
0.69565,0.38095,0.6087
0.11765,0.0,0.11765
0.31579,0.11764,0.31579
0.08333,0.0,0.08333
0.86956,0.85714,0.86956
0.0,0.0,0.0
0.81818,0.7,0.81818
0.25,0.0,0.08333
0.33333,0.21429,0.33333
0.21053,0.11765,0.21053
0.71429,0.5,0.71429
0.4,0.21428,0.33333
0.11765,0.0,0.11765
0.375,0.14286,0.375
0.25,0.0,0.125
0.32,0.17391,0.32
0.37038,0.08,0.22223
0.22857,0.0,0.11428
0.22222,0.0,0.22222
0.36363,0.2,0.27273
1.0,1.0,1.0
0.43479,0.09524,0.34783
0.8,0.5,0.4
0.23077,0.08333,0.23077
1.0,1.0,1.0
0.375,0.14286,0.375
0.86487,0.8,0.86487
0.64,0.26087,0.56
0.16,0.08695,0.16
0.0,0.0,0.0
0.9697,0.90322,0.9697
0.2963,0.08,0.22222
0.2,0.07143,0.2
0.25,0.09091,0.25
0.83333,0.63636,0.83333
0.58824,0.4,0.35294
0.72727,0.45161,0.60606
0.2069,0.07407,0.13793
0.71429,0.5,0.71429
0.33333,0.25,0.33333
0.38095,0.21053,0.38095
0.46667,0.21429,0.4
0.70968,0.41379,0.58065
0.3077,0.0,0.15384
0.23529,0.13333,0.23529
0.13333,0.0,0.13333
0.6,0.22222,0.5
0.57143,0.31579,0.57143
1.0,1.0,1.0
0.66667,0.56,0.66667
0.19048,0.0,0.19048
0.42106,0.11765,0.42106
0.2353,0.0,0.2353
0.44444,0.24,0.2963
0.48276,0.22222,0.48276
0.4878,0.20513,0.34146
0.15385,0.0,0.15385
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
0.34782,0.19048,0.34782
0.21053,0.0,0.10526
0.42857,0.15385,0.28571
0.91667,0.81818,0.91667
0.22857,0.0,0.17143
0.42857,0.30769,0.42857
0.93333,0.92308,0.93333
0.66667,0.42106,0.57143
0.18182,0.0,0.18182
0.18182,0.1,0.18182
0.2,0.11111,0.2
0.30769,0.0,0.15385
0.25,0.09091,0.25
0.09524,0.0,0.09524
0.51852,0.4,0.51852
0.63636,0.4,0.63636
0.57143,0.15385,0.42857
0.48484,0.19355,0.42424
0.44444,0.0,0.44444
0.23529,0.13333,0.23529
0.30769,0.08333,0.23077
0.31579,0.11765,0.21053
0.25,0.09091,0.25
0.46154,0.21621,0.41025
1.0,1.0,1.0
0.16667,0.0,0.16667
0.05882,0.0,0.05882
0.10526,0.0,0.10526
0.66667,0.64286,0.66667
0.22222,0.125,0.22222
0.35714,0.07692,0.14286
0.38462,0.25,0.23077
0.36363,0.0,0.36363
0.18182,0.0,0.18182
0.52941,0.3125,0.47059
0.54546,0.3,0.54546
0.60869,0.38095,0.52174
0.14815,0.0,0.07407
0.07407,0.0,0.07407
0.2,0.0,0.2
0.25,0.0,0.25
0.14286,0.0,0.14286
0.66667,0.4,0.38095
0.53333,0.30769,0.53333
0.3,0.0,0.3
0.52632,0.11765,0.31579
0.61539,0.33333,0.38462
0.27586,0.14815,0.27586
0.19048,0.10526,0.19048
0.0,0.0,0.0
0.19048,0.10526,0.19048
0.30769,0.18182,0.30769
0.38889,0.05882,0.27778
0.81481,0.8,0.81481
0.75,0.73333,0.75
0.12121,0.0,0.12121
0.6,0.22223,0.4
0.0,0.0,0.0
0.09524,0.0,0.09524
0.35294,0.25,0.35294
0.5,0.11111,0.5
0.77419,0.48276,0.64516
0.13333,0.0,0.13333
0.22222,0.0,0.22222
0.33333,0.14286,0.33333
0.19048,0.0,0.19048
0.3,0.11111,0.3
0.35294,0.26667,0.35294
0.19355,0.0,0.12903
0.24,0.08695,0.24
0.66667,0.51163,0.66667
0.36363,0.0,0.18182
0.17391,0.0,0.17391
0.28571,0.0,0.28571
0.66667,0.48,0.59259
0.41667,0.27273,0.25
0.3,0.11111,0.3
0.42857,0.38462,0.42857
0.3125,0.26666,0.3125
0.13333,0.0,0.13333
0.13793,0.0,0.13793
0.6,0.0,0.4
0.28571,0.10526,0.19048
0.66667,0.5,0.66667
0.76923,0.72727,0.76923
0.41379,0.22222,0.41379
0.17391,0.0,0.17391
0.5,0.28571,0.5
0.26666,0.0,0.26666
0.33333,0.0,0.33333
0.44444,0.08,0.29629
0.36363,0.2,0.27273
0.48276,0.44444,0.48276
0.28571,0.0,0.28571
0.48276,0.22222,0.34483
0.75,0.53333,0.5
1.0,1.0,1.0
0.55173,0.2963,0.48275
0.64516,0.41379,0.64516
0.63636,0.6,0.63636
0.53846,0.16667,0.46154
0.21429,0.07692,0.21429
0.10526,0.0,0.10526
0.27273,0.1,0.27273
0.61539,0.36363,0.61539
0.2963,0.08,0.2963
0.68182,0.38095,0.45455
0.9,0.88889,0.9
1.0,1.0,1.0
0.0,0.0,0.0
0.27273,0.1,0.27273
0.0,0.0,0.0
0.5,0.15385,0.5
0.31579,0.11765,0.31579
0.14815,0.0,0.14815
0.70588,0.625,0.70588
0.32258,0.13793,0.19355
0.38462,0.08333,0.23077
0.69565,0.47619,0.69565
0.4,0.26087,0.4
0.21053,0.11764,0.21053
0.5625,0.26666,0.375
0.26087,0.0,0.17391
0.60606,0.45161,0.60606
0.375,0.13333,0.375
0.52632,0.33333,0.36842
0.76923,0.66667,0.76923
0.43478,0.38095,0.43478
0.5,0.0,0.375
0.51613,0.27586,0.51613
0.69565,0.59091,0.65217
0.13333,0.0,0.13333
0.47619,0.10526,0.38095
0.73684,0.47059,0.42106
0.33333,0.125,0.33333
0.5625,0.13334,0.375
0.5625,0.2,0.375
0.93333,0.92308,0.93333
0.34483,0.14815,0.27586
0.3125,0.2,0.3125
0.5,0.33333,0.5
0.6,0.22222,0.5
0.07143,0.0,0.07143
0.53333,0.30769,0.53333
0.25,0.0,0.25
0.74074,0.64,0.74074
0.38462,0.16667,0.38462
0.07407,0.0,0.07407
0.41667,0.09091,0.25
0.45454,0.2,0.45454
1.0,1.0,1.0
0.15789,0.0,0.15789
0.5,0.22222,0.4
0.5,0.4,0.5
0.57143,0.42105,0.57143
0.38095,0.10526,0.38095
0.06667,0.0,0.06667
0.4,0.11111,0.4
0.7,0.44444,0.6
0.69565,0.57143,0.69565
0.47059,0.375,0.23529
0.26087,0.09524,0.26087
1.0,1.0,1.0
0.66667,0.52632,0.66667
0.15789,0.05555,0.15789
0.10526,0.0,0.10526
0.43244,0.11429,0.32432
0.47059,0.26666,0.47059
0.5,0.11111,0.3
0.29629,0.0,0.22222
0.45454,0.2,0.27273
0.60869,0.38095,0.60869
0.375,0.28571,0.375
0.31579,0.11765,0.31579
0.33333,0.07143,0.2
0.27778,0.11765,0.27778
0.31579,0.0,0.31579
0.75,0.72727,0.75
0.83871,0.75862,0.83871
0.54545,0.33333,0.45455
0.61538,0.36363,0.61538
0.76191,0.42106,0.38095
0.07693,0.0,0.07693
0.81481,0.56,0.81481
0.46667,0.14286,0.26667
0.25,0.14286,0.25
0.34285,0.18182,0.22857
0.28572,0.12121,0.28572
0.88,0.86956,0.88
0.38462,0.08333,0.30769
0.7,0.66667,0.7
0.4,0.15385,0.4
0.22222,0.16,0.22222
0.21053,0.0,0.10526
1.0,1.0,1.0
0.29629,0.16,0.29629
0.45455,0.28571,0.40909
0.0,0.0,0.0
0.625,0.42857,0.625
0.18749,0.0,0.18749
0.26087,0.09524,0.26087
0.66667,0.6,0.66667
0.2,0.0,0.1
0.6,0.35714,0.6
0.68966,0.51852,0.68966
0.5,0.11764,0.33333
