r1,r2,rl
0.32,0.17392,0.24
0.41667,0.09091,0.25
0.45455,0.3,0.45455
0.26667,0.0,0.26667
0.70588,0.4,0.70588
0.35714,0.07692,0.28571
0.36363,0.0,0.36363
0.0,0.0,0.0
0.0,0.0,0.0
0.46154,0.33333,0.46154
0.11765,0.0,0.11765
0.43479,0.19048,0.34782
0.18182,0.0,0.18182
0.86956,0.76191,0.86956
0.4,0.26087,0.4
0.59575,0.35556,0.55319
0.11765,0.0,0.11765
0.28572,0.10526,0.28572
0.24242,0.0,0.18182
0.0,0.0,0.0
0.59259,0.4,0.37037
0.33333,0.18182,0.33333
0.14815,0.0,0.14815
0.21053,0.0,0.10526
0.27777,0.11765,0.27777
0.17647,0.0,0.05882
0.53846,0.25,0.53846
0.60606,0.3871,0.48484
0.46666,0.28571,0.4
0.3871,0.13793,0.19355
1.0,1.0,1.0
0.375,0.06667,0.1875
0.42106,0.23529,0.42106
0.42105,0.2353,0.42105
0.1,0.0,0.1
0.41379,0.14815,0.34482
0.09524,0.0,0.09524
0.23529,0.0,0.23529
0.8421,0.66667,0.78948
0.0,0.0,0.0
0.2,0.07143,0.2
0.63158,0.47059,0.63158
0.3,0.0,0.2
0.12903,0.0,0.06452
0.28571,0.10526,0.28571
0.46154,0.25,0.30769
0.57143,0.54545,0.57143
0.2,0.0,0.2
0.62069,0.37037,0.55172
0.74419,0.58537,0.65116
0.33333,0.09091,0.25
0.4,0.26087,0.4
0.77419,0.75862,0.77419
0.09524,0.0,0.09524
0.90909,0.83871,0.90909
0.4,0.18181,0.34286
0.7,0.55556,0.7
0.53659,0.25641,0.29268
0.0,0.0,0.0
1.0,1.0,1.0
0.64516,0.48276,0.58065
0.42857,0.0,0.28571
0.2353,0.0,0.2353
0.18182,0.0,0.18182
0.3871,0.13793,0.32258
0.28571,0.16667,0.28571
0.0,0.0,0.0
0.42105,0.11765,0.31579
0.26087,0.09524,0.17391
0.33333,0.17647,0.33333
0.51852,0.32,0.51852
0.28571,0.0,0.28571
0.0,0.0,0.0
0.0,0.0,0.0
0.42105,0.2353,0.42105
0.66667,0.45161,0.54545
0.6,0.33333,0.6
0.21053,0.0,0.21053
0.19512,0.0,0.14634
0.66667,0.4,0.66667
0.24,0.08695,0.24
0.0,0.0,0.0
0.33334,0.125,0.33334
0.09524,0.0,0.09524
0.86956,0.85714,0.86956
0.14286,0.0,0.14286
0.31579,0.11765,0.31579
0.26666,0.0,0.13333
0.33333,0.21429,0.33333
0.0,0.0,0.0
0.66667,0.46154,0.66667
0.45714,0.36364,0.4
0.10526,0.0,0.10526
0.3,0.22222,0.3
0.11111,0.0,0.11111
0.25807,0.06897,0.25807
0.22223,0.08,0.22223
0.1875,0.0,0.1875
0.23529,0.0,0.23529
0.4,0.22223,0.4
1.0,1.0,1.0
0.44444,0.08,0.22222
0.8,0.5,0.4
0.08001,0.0,0.08001
0.8,0.77778,0.8
0.35294,0.13333,0.35294
0.9697,0.90322,0.9697
0.37037,0.16,0.37037
0.15385,0.08333,0.15385
0.0,0.0,0.0
0.9697,0.90322,0.9697
0.28571,0.06061,0.22857
0.43479,0.09524,0.26087
0.25,0.09091,0.25
0.73684,0.47059,0.63158
0.71429,0.33333,0.42857
0.5641,0.37838,0.51282
0.125,0.0,0.0625
0.25,0.14286,0.25
0.44445,0.125,0.44445
0.47059,0.13333,0.47059
0.34482,0.14815,0.27586
1.0,1.0,1.0
0.32433,0.17143,0.21622
0.35294,0.13333,0.35294
0.1,0.0,0.1
0.88889,0.5,0.66667
0.57143,0.31579,0.57143
1.0,1.0,1.0
0.88,0.60869,0.64
0.28572,0.10526,0.28572
0.47059,0.13333,0.35294
0.26087,0.09524,0.26087
0.0,0.0,0.0
0.58334,0.18182,0.5
0.51282,0.32432,0.51282
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
0.26087,0.0,0.26087
0.28572,0.10526,0.28572
0.48276,0.22222,0.41379
0.58333,0.54545,0.58333
0.0,0.0,0.0
0.45714,0.36364,0.45714
0.42105,0.23529,0.42105
0.69231,0.41667,0.38462
0.15385,0.0,0.15385
0.0,0.0,0.0
0.22222,0.125,0.22222
0.0,0.0,0.0
0.33334,0.07143,0.13334
0.08,0.0,0.08
0.53846,0.41666,0.53846
0.66666,0.42105,0.66666
0.57143,0.30769,0.5
0.51428,0.18182,0.45714
0.8,0.5,0.8
0.23529,0.13333,0.23529
0.43479,0.38095,0.43479
0.28571,0.10526,0.19048
0.22223,0.0,0.22223
0.42105,0.11111,0.36842
1.0,1.0,1.0
0.18182,0.0,0.18182
0.06061,0.0,0.06061
0.1,0.0,0.1
0.66667,0.64286,0.66667
0.26666,0.15385,0.26666
0.34482,0.07407,0.13793
0.2,0.11111,0.2
0.46667,0.28572,0.46667
0.22222,0.0,0.22222
0.58823,0.3125,0.41176
0.41667,0.18182,0.41667
0.47619,0.21053,0.38095
0.22222,0.16,0.22222
0.0,0.0,0.0
0.2,0.11111,0.2
0.55556,0.375,0.55556
0.125,0.0,0.125
0.30769,0.0,0.20513
0.33333,0.25,0.33333
0.26087,0.09524,0.26087
0.47619,0.10526,0.28572
0.73684,0.35294,0.52632
0.32258,0.2069,0.32258
0.19048,0.10526,0.19048
0.11765,0.0,0.11765
0.21429,0.15385,0.21429
0.54545,0.22222,0.54545
0.28572,0.06061,0.28572
0.88,0.86956,0.88
0.36363,0.12904,0.30303
0.25,0.06667,0.1875
0.58333,0.36363,0.58333
0.0,0.0,0.0
0.18182,0.0,0.09091
0.3125,0.2,0.1875
0.5,0.11111,0.5
0.34482,0.22222,0.34482
0.0,0.0,0.0
0.16667,0.0,0.16667
0.5625,0.33334,0.4375
0.26666,0.0,0.2
0.25,0.14286,0.25
0.35294,0.26667,0.35294
0.19355,0.0,0.12903
0.19355,0.06896,0.19355
0.88,0.79167,0.88
0.25,0.0,0.125
0.16667,0.0,0.16667
0.38095,0.10526,0.28571
1.0,1.0,1.0
0.3,0.22222,0.3
0.3,0.11111,0.3
0.61539,0.41667,0.61539
0.17143,0.0,0.11428
0.14286,0.0,0.14286
0.14815,0.0,0.07407
0.31579,0.0,0.21053
0.36363,0.2,0.18182
0.63158,0.47059,0.63158
